eps,min_samples,silhouette_score,noise_ratio
0.01,4.0,-0.28616867152440395,36.28821800401066
0.01,5.0,-0.30519686547224834,47.90813943905722
0.01,6.0,-0.334845757599029,58.26442875587177
0.01,7.0,-0.3547118174422763,69.8568799274785
0.01,8.0,-0.39315342876479253,82.57561190011812
0.01,9.0,-0.3477614470179146,94.6350575502019
0.02,4.0,0.01781885761277874,8.460841139466527
0.02,5.0,-0.06676703022281959,10.740873004972117
0.02,6.0,-0.045999480558586964,13.76260198335302
0.02,7.0,-0.035236774137557623,16.97662280581271
0.02,8.0,-0.06138824805117075,19.503887042276734
0.02,9.0,0.08027500308661571,23.102491552893994
0.03,4.0,0.4106519284324176,3.351372139658819
0.03,5.0,0.3233382980746795,4.5325934675713535
0.03,6.0,0.32239262638663085,5.384171634205972
0.03,7.0,0.31942278542341335,6.1258687470812845
0.03,8.0,0.3034195722138198,7.499381919072604
0.03,9.0,0.6385472410452531,9.284949042661319
0.04,4.0,0.616754617214796,2.032799494547153
0.04,5.0,0.6233678591786997,2.417383182704722
0.04,6.0,0.6361959347500171,2.8019668708622913
0.04,7.0,0.45842151142101845,3.2414910858995136
0.04,8.0,0.45825935557238356,3.8733071450155205
0.04,9.0,0.6376361521969929,4.25789083317309
0.05,4.0,0.5069433666795796,1.1262808010328818
0.05,5.0,0.6162078082733753,1.3735131719913194
0.05,6.0,0.6406089304003235,1.6207455429497568
0.05,7.0,0.6499956769585085,1.9229184407878472
0.05,8.0,0.6622356015124281,2.197621075186111
0.05,9.0,0.6742078594361768,2.4448534461445486
0.060000000000000005,4.0,0.5091009635870418,0.9065186935142708
0.060000000000000005,5.0,0.6385828315477885,1.0163997472735764
0.060000000000000005,6.0,0.638095221917231,1.071340274153229
0.060000000000000005,7.0,0.652119473069963,1.2911023816718403
0.060000000000000005,8.0,0.6454642553263021,1.4009834354311457
0.060000000000000005,9.0,0.6522600477488527,1.4559239623107985
0.06999999999999999,4.0,0.6557220128729875,0.7142268494354861
0.06999999999999999,5.0,0.6505493625880793,0.7416971128753125
0.06999999999999999,6.0,0.6426192902727358,0.851578166634618
0.06999999999999999,7.0,0.6421614076719371,0.9065186935142708
0.06999999999999999,8.0,0.6519838937624538,0.9614592203939236
0.06999999999999999,9.0,0.6570791542394183,1.1537510644727085
0.08,4.0,0.6743266160849298,0.5494052687965277
0.08,5.0,0.6707041615629112,0.5768755322363542
0.08,6.0,0.6640184306414716,0.6592863225558333
0.08,7.0,0.6527035068529387,0.7966376397549653
0.08,8.0,0.6527035068529387,0.7966376397549653
0.08,9.0,0.6506848755685778,0.8241079031947917
0.09,4.0,0.6849438257103416,0.35711342471774304
0.09,5.0,0.6827999928634833,0.4669944784770486
0.09,6.0,0.6790142871635397,0.49446474191687495
0.09,7.0,0.677735552848113,0.5494052687965277
0.09,8.0,0.677735552848113,0.5494052687965277
0.09,9.0,0.6693470680295953,0.6043457956761805
