eps,min_samples,silhouette_score,noise_ratio
0.01,4.0,-0.614460179456619,66.25827541686124
0.01,5.0,-0.5812024236805194,79.0044776529407
0.01,6.0,-0.505591379550521,91.31115567398291
0.01,7.0,-0.5616283129397841,103.75518501222426
0.01,8.0,-0.5739266468826932,115.8695711891877
0.01,9.0,-0.40017025167807774,127.79166552207235
0.02,4.0,0.2593119757528171,13.954893827431805
0.02,5.0,0.25650618220236415,16.09757437573826
0.02,6.0,0.3372431709830321,18.54242782188281
0.02,7.0,0.531660932132418,19.915940993874134
0.02,8.0,0.5356315136467928,21.811389171222153
0.02,9.0,0.5304219307518905,23.239842870093124
0.03,4.0,0.4826857404454109,5.384171634205972
0.03,5.0,0.5214791577550032,6.400571381479549
0.03,6.0,0.6274893221463768,7.197209021234514
0.03,7.0,0.6421938553964586,7.883965607230174
0.03,8.0,0.42841068149569295,8.186138505068264
0.03,9.0,0.6281173744933406,9.12012746202236
0.04,4.0,0.26684270747021016,2.96678845150125
0.04,5.0,0.5321916601073279,3.7084855643765624
0.04,6.0,0.5403046283143755,4.065598989094306
0.04,7.0,0.5440815774068466,4.395242150372222
0.04,8.0,0.6587186999882124,4.999587946048402
0.04,9.0,0.6701305161588427,5.411641897645798
0.05,4.0,0.5594936235013658,1.5658050160701042
0.05,5.0,0.5367617275517372,2.0053292311073263
0.05,6.0,0.4497239688273492,2.3624426558250695
0.05,7.0,0.5472030161434785,2.747026343982639
0.05,8.0,0.5559677938875793,3.323901876218993
0.05,9.0,0.5552817816904966,3.406312666538472
0.060000000000000005,4.0,0.5722696756402187,1.0163997472735764
0.060000000000000005,5.0,0.5719318291020415,1.208691591352361
0.060000000000000005,6.0,0.5706098445809009,1.4284536988709722
0.060000000000000005,7.0,0.5247036816361382,1.6207455429497568
0.060000000000000005,8.0,0.5659869673535154,1.8405076504683682
0.060000000000000005,9.0,0.5483349316841618,2.0877400214268054
0.06999999999999999,4.0,0.5863013482222658,0.7416971128753125
0.06999999999999999,5.0,0.5847796468018858,0.7691673763151389
0.06999999999999999,6.0,0.5847294637097428,0.7966376397549653
0.06999999999999999,7.0,0.5709995412752766,1.0438700107134027
0.06999999999999999,8.0,0.5703242395617342,1.0988105375930555
0.06999999999999999,9.0,0.570002609084865,1.3735131719913194
0.08,4.0,0.590873104324372,0.5494052687965277
0.08,5.0,0.590873104324372,0.5494052687965277
0.08,6.0,0.59115750875869,0.5768755322363542
0.08,7.0,0.59115750875869,0.5768755322363542
0.08,8.0,0.5887494928499585,0.6318160591160069
0.08,9.0,0.5871446673311137,0.6867565859956597
0.09,4.0,0.7631622828983071,0.38458368815756944
0.09,5.0,0.7562677824129294,0.41205395159739583
0.09,6.0,0.5919244803536922,0.43952421503722217
0.09,7.0,0.5892708355699328,0.43952421503722217
0.09,8.0,0.5880674755951123,0.4669944784770486
0.09,9.0,0.5898658585891478,0.49446474191687495
